方案ID,调度策略,策略代码,描述,航次数,总载重(吨),总天数,总费用,单位成本(元/吨),未安排货物数,异常数,高风险航次,中风险航次,低风险航次
S01-lowest_cost,最低成本,lowest_cost,优先选择总成本最低的船舶和方案，适合预算敏感场景,14,163500.0,190.44,23425333.33,143.27,0,71,6,7,1
S02-fastest_arrival,最快到港,fastest_arrival,优先选择航行和装卸时间最短的方案，适合紧急货物,14,163500.0,189.25,24414833.33,149.33,0,76,6,7,1
S03-priority_first,优先级优先,priority_first,优先保障高优先级货物按时抵达，适合重要物资运输,14,163500.0,190.13,24815333.33,151.78,0,74,6,7,1
S04-low_demurrage,低滞期风险,low_demurrage,优先选择滞期风险最低的方案，避免港口拥堵和额外费用,14,163500.0,189.51,23565333.33,144.13,0,74,6,7,1
